rank,username,puzzles_since_tracking,puzzles_total_now,puzzle_rating_now,puzzle_rating_progress,avg_bullet_blitz_rapid,storm_best_score,racer_best_score,first_seen,last_seen
1,noiretblanc,484,485,2200,,2143.0,,,2026-03-24,2026-03-24
2,jsf99,275,287,2012,,1386.7,,,2026-03-24,2026-03-24
3,jup523,266,288,2081,,1754.3,,,2026-03-24,2026-03-24
4,herborner1,255,286,2083,,2111.3,,,2026-03-24,2026-03-24
5,bubububub,252,323,2268,,2160.0,,,2026-03-24,2026-03-24
6,deutscheschachjugend,235,244,1980,,1518.7,,,2026-03-24,2026-03-24
7,tirk16,233,287,1560,,1416.7,,,2026-03-24,2026-03-24
8,vitkol,232,289,1889,,1635.0,,,2026-03-24,2026-03-24
9,cutch12,230,269,1045,,929.0,,,2026-03-24,2026-03-24
10,timro1994,226,299,1957,,2094.3,,,2026-03-24,2026-03-24
11,andymatheffm,225,235,1834,,1588.7,,,2026-03-24,2026-03-24
12,konanderbarbar,221,228,2236,,2371.7,,,2026-03-24,2026-03-24
13,p41100,220,254,2915,,1898.7,,,2026-03-24,2026-03-24
14,wesmou197,217,248,1862,,1642.7,,,2026-03-24,2026-03-24
15,lennart7,213,268,1696,,1279.0,,,2026-03-24,2026-03-24
16,toio15,191,239,1262,,1193.7,,,2026-03-24,2026-03-24
17,sjsh_online,189,229,2206,,1966.0,,,2026-03-24,2026-03-24
18,speedchess_twitch,185,307,2404,,2221.7,,,2026-03-24,2026-03-24
19,fatupha,176,278,2080,,1744.7,,,2026-03-24,2026-03-24
20,hypercloxy,173,212,2260,,2027.7,,,2026-03-24,2026-03-24
21,jap_bot1,162,194,2280,,1729.7,,,2026-03-24,2026-03-24
22,steaan,158,175,2001,,1974.7,,,2026-03-24,2026-03-24
23,hu_hochschulsport,153,181,1040,,1359.7,,,2026-03-24,2026-03-24
24,leonies,153,216,1093,,1044.7,,,2026-03-24,2026-03-24
25,theabi,152,216,2109,,1817.3,,,2026-03-24,2026-03-24
26,malex05,148,272,2082,,2129.7,,,2026-03-24,2026-03-24
27,gx_jj,148,221,870,,1247.0,,,2026-03-24,2026-03-24
28,bieberelch,131,193,2287,,2024.7,,,2026-03-24,2026-03-24
29,moritz_ab,125,201,2140,,1708.7,,,2026-03-24,2026-03-24
30,dr_thomas_tal,96,186,2759,,2455.7,,,2026-03-24,2026-03-24
31,kekzbaum,96,290,1427,,1515.0,,,2026-03-24,2026-03-24
32,sf_neuberg,94,184,2457,,2101.3,,,2026-03-24,2026-03-24
33,rau_andrei,93,237,1948,,1375.0,,,2026-03-24,2026-03-24
34,chessan,87,198,2263,,2123.0,,,2026-03-24,2026-03-24
35,zqf,74,303,1584,,1308.7,,,2026-03-24,2026-03-24
36,masterx_liebig,69,214,1430,,1258.7,,,2026-03-24,2026-03-24
37,david_b_006,67,195,1756,,1749.7,,,2026-03-24,2026-03-24
38,neimand,50,111,2487,,1935.7,,,2026-03-24,2026-03-24
39,ohr70,27,153,1671,,1414.3,,,2026-03-24,2026-03-24
40,nadanada98,18,107,2303,,2194.3,,,2026-03-24,2026-03-24
41,p0t_randbauer,15,108,1783,,1889.0,,,2026-03-24,2026-03-24
42,aarav2906,0,0,,,1288.7,,,2026-03-24,2026-03-24
43,quuton,0,0,,,1752.0,,,2026-03-24,2026-03-24
44,kajtinator,0,0,,,1500.0,,,2026-03-24,2026-03-24
45,froeberg,0,0,,,1773.0,,,2026-03-24,2026-03-24
46,karolina007,0,0,,,1694.3,,,2026-03-24,2026-03-24
47,daria_ffm,0,0,,,1227.7,,,2026-03-24,2026-03-24
48,stefstefstefstef,0,0,,,1616.3,,,2026-03-24,2026-03-24
49,hel_ma,0,203,2260,,1797.0,,,2026-03-24,2026-03-24
50,chaosprinzessin,0,0,,,1545.7,,,2026-03-24,2026-03-24
51,tschaikowskij,-12,178,1513,,1278.3,,,2026-03-24,2026-03-24
52,ferdi08,-23,167,1136,,1339.7,,,2026-03-24,2026-03-24
53,florin08,-30,102,2213,,2063.7,,,2026-03-24,2026-03-24
54,peng-win,-33,215,2310,,2165.7,,,2026-03-24,2026-03-24
55,blunderjan,-44,153,2204,,1710.7,,,2026-03-24,2026-03-24
56,felixlucan,-51,194,1183,,960.3,,,2026-03-24,2026-03-24
57,hachi1994,-64,102,2026,,2104.0,,,2026-03-24,2026-03-24
58,hsj,-72,66,1774,,1780.3,,,2026-03-24,2026-03-24
59,panos3000,-80,208,1945,,1486.0,,,2026-03-24,2026-03-24
60,are_double_you,-87,192,2610,,2164.3,,,2026-03-24,2026-03-24
61,elohunter99,-96,90,2599,,2522.7,,,2026-03-24,2026-03-24
